Temperatura,Humedad,Fecha,Estado
25.5,60,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
26.2,58,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
24.8,62,Tue Dec 05 2023 01:45:22 GMT-0500 (Peru Standard Time),Por encima del umbral seguro
